year_census,date_census_start,date_census_end,state_abb,state_name,state_region,state_division,population,median_household_income,census_current_flag
2015,2015-01-01,2015-12-31,MS,Mississippi,South,East South Central,2988081,39665,FALSE
2015,2015-01-01,2015-12-31,MO,Missouri,North Central,West North Central,6045448,48173,FALSE
2015,2015-01-01,2015-12-31,MT,Montana,West,Mountain,1014699,47169,FALSE
2015,2015-01-01,2015-12-31,NE,Nebraska,North Central,West North Central,1869365,52997,FALSE
2015,2015-01-01,2015-12-31,NV,Nevada,West,Mountain,2798636,51847,FALSE
2015,2015-01-01,2015-12-31,NH,New Hampshire,Northeast,New England,1324201,66779,FALSE
2015,2015-01-01,2015-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8904413,72093,FALSE
2015,2015-01-01,2015-12-31,NM,New Mexico,West,Mountain,2084117,44963,FALSE
2015,2015-01-01,2015-12-31,NY,New York,Northeast,Middle Atlantic,19673174,59269,FALSE
2015,2015-01-01,2015-12-31,NC,North Carolina,South,South Atlantic,9845333,46868,FALSE
2015,2015-01-01,2015-12-31,ND,North Dakota,North Central,West North Central,721640,57181,FALSE
2015,2015-01-01,2015-12-31,OH,Ohio,North Central,East North Central,11575977,49429,FALSE
2015,2015-01-01,2015-12-31,OK,Oklahoma,South,West South Central,3849733,46879,FALSE
2015,2015-01-01,2015-12-31,OR,Oregon,West,Pacific,3939233,51243,FALSE
2015,2015-01-01,2015-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12779559,53599,FALSE
2015,2015-01-01,2015-12-31,RI,Rhode Island,Northeast,New England,1053661,56852,FALSE
2015,2015-01-01,2015-12-31,SC,South Carolina,South,South Atlantic,4777576,45483,FALSE
2015,2015-01-01,2015-12-31,SD,South Dakota,North Central,West North Central,843190,50957,FALSE
2015,2015-01-01,2015-12-31,TN,Tennessee,South,East South Central,6499615,45219,FALSE
2015,2015-01-01,2015-12-31,TX,Texas,South,West South Central,26538614,53207,FALSE
2015,2015-01-01,2015-12-31,UT,Utah,West,Mountain,2903379,60727,FALSE
2015,2015-01-01,2015-12-31,VT,Vermont,Northeast,New England,626604,55176,FALSE
2015,2015-01-01,2015-12-31,VA,Virginia,South,South Atlantic,8256630,65015,FALSE
2015,2015-01-01,2015-12-31,WA,Washington,West,Pacific,6985464,61062,FALSE
2015,2015-01-01,2015-12-31,WV,West Virginia,South,South Atlantic,1851420,41751,FALSE
2015,2015-01-01,2015-12-31,WI,Wisconsin,North Central,East North Central,5742117,53357,FALSE
2015,2015-01-01,2015-12-31,WY,Wyoming,West,Mountain,579679,58840,FALSE
2015,2015-01-01,2015-12-31,DC,Puerto Rico,Northeast,South Atlantic,3583073,19350,FALSE
2016,2016-01-01,2016-12-31,AL,Alabama,South,East South Central,4841164,44758,FALSE
2016,2016-01-01,2016-12-31,AK,Alaska,West,Pacific,736855,74444,FALSE
2016,2016-01-01,2016-12-31,AZ,Arizona,West,Mountain,6728577,51340,FALSE
2016,2016-01-01,2016-12-31,AR,Arkansas,South,West South Central,2968472,42336,FALSE
2016,2016-01-01,2016-12-31,CA,California,West,Pacific,38654206,63783,FALSE
2016,2016-01-01,2016-12-31,CO,Colorado,West,Mountain,5359295,62520,FALSE
2016,2016-01-01,2016-12-31,CT,Connecticut,Northeast,New England,3588570,71755,FALSE
2016,2016-01-01,2016-12-31,DE,Delaware,South,South Atlantic,934695,61017,FALSE
2016,2016-01-01,2016-12-31,DC,District of Columbia,Northeast,South Atlantic,659009,72935,FALSE
2016,2016-01-01,2016-12-31,FL,Florida,South,South Atlantic,19934451,48900,FALSE
2016,2016-01-01,2016-12-31,GA,Georgia,South,South Atlantic,10099320,51037,FALSE
2016,2016-01-01,2016-12-31,HI,Hawaii,West,Pacific,1413673,71977,FALSE
2016,2016-01-01,2016-12-31,ID,Idaho,West,Mountain,1635483,49174,FALSE
2016,2016-01-01,2016-12-31,IL,Illinois,North Central,East North Central,12851684,59196,FALSE
2016,2016-01-01,2016-12-31,IN,Indiana,North Central,East North Central,6589578,50433,FALSE
2016,2016-01-01,2016-12-31,IA,Iowa,North Central,West North Central,3106589,54570,FALSE
2016,2016-01-01,2016-12-31,KS,Kansas,North Central,West North Central,2898292,53571,FALSE
2016,2016-01-01,2016-12-31,KY,Kentucky,South,East South Central,4411989,44811,FALSE
2016,2016-01-01,2016-12-31,LA,Louisiana,South,West South Central,4645670,45652,FALSE
2016,2016-01-01,2016-12-31,ME,Maine,Northeast,New England,1329923,50826,FALSE
2016,2016-01-01,2016-12-31,MD,Maryland,South,South Atlantic,5959902,76067,FALSE
2016,2016-01-01,2016-12-31,MA,Massachusetts,Northeast,New England,6742143,70954,FALSE
2016,2016-01-01,2016-12-31,MI,Michigan,North Central,East North Central,9909600,50803,FALSE
2016,2016-01-01,2016-12-31,MN,Minnesota,North Central,West North Central,5450868,63217,FALSE
2016,2016-01-01,2016-12-31,MS,Mississippi,South,East South Central,2989192,40528,FALSE
2016,2016-01-01,2016-12-31,MO,Missouri,North Central,West North Central,6059651,49593,FALSE
2016,2016-01-01,2016-12-31,MT,Montana,West,Mountain,1023391,48380,FALSE
2016,2016-01-01,2016-12-31,NE,Nebraska,North Central,West North Central,1881259,54384,FALSE
2016,2016-01-01,2016-12-31,NV,Nevada,West,Mountain,2839172,53094,FALSE
2016,2016-01-01,2016-12-31,NH,New Hampshire,Northeast,New England,1327503,68485,FALSE
2016,2016-01-01,2016-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8915456,73702,FALSE
2016,2016-01-01,2016-12-31,NM,New Mexico,West,Mountain,2082669,45674,FALSE
2016,2016-01-01,2016-12-31,NY,New York,Northeast,Middle Atlantic,19697457,60741,FALSE
2016,2016-01-01,2016-12-31,NC,North Carolina,South,South Atlantic,9940828,48256,FALSE
2016,2016-01-01,2016-12-31,ND,North Dakota,North Central,West North Central,736162,59114,FALSE
2016,2016-01-01,2016-12-31,OH,Ohio,North Central,East North Central,11586941,50674,FALSE
2016,2016-01-01,2016-12-31,OK,Oklahoma,South,West South Central,3875589,48038,FALSE
2016,2016-01-01,2016-12-31,OR,Oregon,West,Pacific,3982267,53270,FALSE
2016,2016-01-01,2016-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12783977,54895,FALSE
2016,2016-01-01,2016-12-31,RI,Rhode Island,Northeast,New England,1054491,58387,FALSE
2016,2016-01-01,2016-12-31,SC,South Carolina,South,South Atlantic,4834605,46898,FALSE
2016,2016-01-01,2016-12-31,SD,South Dakota,North Central,West North Central,851058,52078,FALSE
2016,2016-01-01,2016-12-31,TN,Tennessee,South,East South Central,6548009,46574,FALSE
2016,2016-01-01,2016-12-31,TX,Texas,South,West South Central,26956435,54727,FALSE
2016,2016-01-01,2016-12-31,UT,Utah,West,Mountain,2948427,62518,FALSE
2016,2016-01-01,2016-12-31,VT,Vermont,Northeast,New England,626249,56104,FALSE
2016,2016-01-01,2016-12-31,VA,Virginia,South,South Atlantic,8310301,66149,FALSE
2016,2016-01-01,2016-12-31,WA,Washington,West,Pacific,7073146,62848,FALSE
2016,2016-01-01,2016-12-31,WV,West Virginia,South,South Atlantic,1846092,42644,FALSE
2016,2016-01-01,2016-12-31,WI,Wisconsin,North Central,East North Central,5754798,54610,FALSE
2016,2016-01-01,2016-12-31,WY,Wyoming,West,Mountain,583029,59143,FALSE
2016,2016-01-01,2016-12-31,DC,Puerto Rico,Northeast,South Atlantic,3529385,19606,FALSE
2017,2017-01-01,2017-12-31,AL,Alabama,South,East South Central,4850771,46472,FALSE
2017,2017-01-01,2017-12-31,AK,Alaska,West,Pacific,738565,76114,FALSE
2017,2017-01-01,2017-12-31,AZ,Arizona,West,Mountain,6809946,53510,FALSE
2017,2017-01-01,2017-12-31,AR,Arkansas,South,West South Central,2977944,43813,FALSE
2017,2017-01-01,2017-12-31,CA,California,West,Pacific,38982847,67169,FALSE
2017,2017-01-01,2017-12-31,CO,Colorado,West,Mountain,5436519,65458,FALSE
2017,2017-01-01,2017-12-31,CT,Connecticut,Northeast,New England,3594478,73781,FALSE
2017,2017-01-01,2017-12-31,DE,Delaware,South,South Atlantic,943732,63036,FALSE
2017,2017-01-01,2017-12-31,DC,District of Columbia,Northeast,South Atlantic,672391,77649,FALSE
2017,2017-01-01,2017-12-31,FL,Florida,South,South Atlantic,20278447,50883,FALSE
2017,2017-01-01,2017-12-31,GA,Georgia,South,South Atlantic,10201635,52977,FALSE
2017,2017-01-01,2017-12-31,HI,Hawaii,West,Pacific,1421658,74923,FALSE
2017,2017-01-01,2017-12-31,ID,Idaho,West,Mountain,1657375,50985,FALSE
2017,2017-01-01,2017-12-31,IL,Illinois,North Central,East North Central,12854526,61229,FALSE
2017,2017-01-01,2017-12-31,IN,Indiana,North Central,East North Central,6614418,52182,FALSE
2017,2017-01-01,2017-12-31,IA,Iowa,North Central,West North Central,3118102,56570,FALSE
2017,2017-01-01,2017-12-31,KS,Kansas,North Central,West North Central,2903820,55477,FALSE
2017,2017-01-01,2017-12-31,KY,Kentucky,South,East South Central,4424376,46535,FALSE
2017,2017-01-01,2017-12-31,LA,Louisiana,South,West South Central,4663461,46710,FALSE
2017,2017-01-01,2017-12-31,ME,Maine,Northeast,New England,1330158,53024,FALSE
2017,2017-01-01,2017-12-31,MD,Maryland,South,South Atlantic,5996079,78916,FALSE
2017,2017-01-01,2017-12-31,MA,Massachusetts,Northeast,New England,6789319,74167,FALSE
2017,2017-01-01,2017-12-31,MI,Michigan,North Central,East North Central,9925568,52668,FALSE
2017,2017-01-01,2017-12-31,MN,Minnesota,North Central,West North Central,5490726,65699,FALSE
2017,2017-01-01,2017-12-31,MS,Mississippi,South,East South Central,2986220,42009,FALSE
2017,2017-01-01,2017-12-31,MO,Missouri,North Central,West North Central,6075300,51542,FALSE
2017,2017-01-01,2017-12-31,MT,Montana,West,Mountain,1029862,50801,FALSE
2017,2017-01-01,2017-12-31,NE,Nebraska,North Central,West North Central,1893921,56675,FALSE
2017,2017-01-01,2017-12-31,NV,Nevada,West,Mountain,2887725,55434,FALSE
2017,2017-01-01,2017-12-31,NH,New Hampshire,Northeast,New England,1331848,71305,FALSE
2017,2017-01-01,2017-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8960161,76475,FALSE
2017,2017-01-01,2017-12-31,NM,New Mexico,West,Mountain,2084828,46718,FALSE
2017,2017-01-01,2017-12-31,NY,New York,Northeast,Middle Atlantic,19798228,62765,FALSE
2017,2017-01-01,2017-12-31,NC,North Carolina,South,South Atlantic,10052564,50320,FALSE
2017,2017-01-01,2017-12-31,ND,North Dakota,North Central,West North Central,745475,61285,FALSE
2017,2017-01-01,2017-12-31,OH,Ohio,North Central,East North Central,11609756,52407,FALSE
2017,2017-01-01,2017-12-31,OK,Oklahoma,South,West South Central,3896251,49767,FALSE
2017,2017-01-01,2017-12-31,OR,Oregon,West,Pacific,4025127,56119,FALSE
2017,2017-01-01,2017-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12790505,56951,FALSE
2017,2017-01-01,2017-12-31,RI,Rhode Island,Northeast,New England,1056138,61043,FALSE
2017,2017-01-01,2017-12-31,SC,South Carolina,South,South Atlantic,4893444,48781,FALSE
2017,2017-01-01,2017-12-31,SD,South Dakota,North Central,West North Central,855444,54126,FALSE
2017,2017-01-01,2017-12-31,TN,Tennessee,South,East South Central,6597381,48708,FALSE
2017,2017-01-01,2017-12-31,TX,Texas,South,West South Central,27419612,57051,FALSE
2017,2017-01-01,2017-12-31,UT,Utah,West,Mountain,2993941,65325,FALSE
2017,2017-01-01,2017-12-31,VT,Vermont,Northeast,New England,624636,57808,FALSE
2017,2017-01-01,2017-12-31,VA,Virginia,South,South Atlantic,8365952,68766,FALSE
2017,2017-01-01,2017-12-31,WA,Washington,West,Pacific,7169967,66174,FALSE
2017,2017-01-01,2017-12-31,WV,West Virginia,South,South Atlantic,1836843,44061,FALSE
2017,2017-01-01,2017-12-31,WI,Wisconsin,North Central,East North Central,5763217,56759,FALSE
2017,2017-01-01,2017-12-31,WY,Wyoming,West,Mountain,583200,60938,FALSE
2017,2017-01-01,2017-12-31,DC,Puerto Rico,Northeast,South Atlantic,3468963,19775,FALSE
2018,2018-01-01,2018-12-31,AL,Alabama,South,East South Central,4864680,48486,FALSE
2018,2018-01-01,2018-12-31,AK,Alaska,West,Pacific,738516,76715,FALSE
2018,2018-01-01,2018-12-31,AZ,Arizona,West,Mountain,6946685,56213,FALSE
2018,2018-01-01,2018-12-31,AR,Arkansas,South,West South Central,2990671,45726,FALSE
2018,2018-01-01,2018-12-31,CA,California,West,Pacific,39148760,71228,FALSE
2018,2018-01-01,2018-12-31,CO,Colorado,West,Mountain,5531141,68811,FALSE
2018,2018-01-01,2018-12-31,CT,Connecticut,Northeast,New England,3581504,76106,FALSE
2018,2018-01-01,2018-12-31,DE,Delaware,South,South Atlantic,949495,65627,FALSE
2018,2018-01-01,2018-12-31,DC,District of Columbia,Northeast,South Atlantic,684498,82604,FALSE
2018,2018-01-01,2018-12-31,FL,Florida,South,South Atlantic,20598139,53267,FALSE
2018,2018-01-01,2018-12-31,GA,Georgia,South,South Atlantic,10297484,55679,FALSE
2018,2018-01-01,2018-12-31,HI,Hawaii,West,Pacific,1422029,78084,FALSE
2018,2018-01-01,2018-12-31,ID,Idaho,West,Mountain,1687809,53089,FALSE
2018,2018-01-01,2018-12-31,IL,Illinois,North Central,East North Central,12821497,63575,FALSE
2018,2018-01-01,2018-12-31,IN,Indiana,North Central,East North Central,6637426,54325,FALSE
2018,2018-01-01,2018-12-31,IA,Iowa,North Central,West North Central,3132499,58580,FALSE
2018,2018-01-01,2018-12-31,KS,Kansas,North Central,West North Central,2908776,57422,FALSE
2018,2018-01-01,2018-12-31,KY,Kentucky,South,East South Central,4440204,48392,FALSE
2018,2018-01-01,2018-12-31,LA,Louisiana,South,West South Central,4663616,47942,FALSE
2018,2018-01-01,2018-12-31,ME,Maine,Northeast,New England,1332813,55425,FALSE
2018,2018-01-01,2018-12-31,MD,Maryland,South,South Atlantic,6003435,81868,FALSE
2018,2018-01-01,2018-12-31,MA,Massachusetts,Northeast,New England,6830193,77378,FALSE
2018,2018-01-01,2018-12-31,MI,Michigan,North Central,East North Central,9957488,54938,FALSE
2018,2018-01-01,2018-12-31,MN,Minnesota,North Central,West North Central,5527358,68411,FALSE
2018,2018-01-01,2018-12-31,MS,Mississippi,South,East South Central,2988762,43567,FALSE
2018,2018-01-01,2018-12-31,MO,Missouri,North Central,West North Central,6090062,53560,FALSE
2018,2018-01-01,2018-12-31,MT,Montana,West,Mountain,1041732,52559,FALSE
2018,2018-01-01,2018-12-31,NE,Nebraska,North Central,West North Central,1904760,59116,FALSE
2018,2018-01-01,2018-12-31,NV,Nevada,West,Mountain,2922849,57598,FALSE
2018,2018-01-01,2018-12-31,NH,New Hampshire,Northeast,New England,1343622,74057,FALSE
2018,2018-01-01,2018-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8881845,79363,FALSE
2018,2018-01-01,2018-12-31,NM,New Mexico,West,Mountain,2092434,48059,FALSE
2018,2018-01-01,2018-12-31,NY,New York,Northeast,Middle Atlantic,19618453,65323,FALSE
2018,2018-01-01,2018-12-31,NC,North Carolina,South,South Atlantic,10155624,52413,FALSE
2018,2018-01-01,2018-12-31,ND,North Dakota,North Central,West North Central,752201,63473,FALSE
2018,2018-01-01,2018-12-31,OH,Ohio,North Central,East North Central,11641879,54533,FALSE
2018,2018-01-01,2018-12-31,OK,Oklahoma,South,West South Central,3918137,51424,FALSE
2018,2018-01-01,2018-12-31,OR,Oregon,West,Pacific,4081943,59393,FALSE
2018,2018-01-01,2018-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12791181,59445,FALSE
2018,2018-01-01,2018-12-31,RI,Rhode Island,Northeast,New England,1056611,63296,FALSE
2018,2018-01-01,2018-12-31,SC,South Carolina,South,South Atlantic,4955925,51015,FALSE
2018,2018-01-01,2018-12-31,SD,South Dakota,North Central,West North Central,864289,56499,FALSE
2018,2018-01-01,2018-12-31,TN,Tennessee,South,East South Central,6651089,50972,FALSE
2018,2018-01-01,2018-12-31,TX,Texas,South,West South Central,27885195,59570,FALSE
2018,2018-01-01,2018-12-31,UT,Utah,West,Mountain,3045350,68374,FALSE
2018,2018-01-01,2018-12-31,VT,Vermont,Northeast,New England,624977,60076,FALSE
2018,2018-01-01,2018-12-31,VA,Virginia,South,South Atlantic,8413774,71564,FALSE
2018,2018-01-01,2018-12-31,WA,Washington,West,Pacific,7294336,70116,FALSE
2018,2018-01-01,2018-12-31,WV,West Virginia,South,South Atlantic,1829054,44921,FALSE
2018,2018-01-01,2018-12-31,WI,Wisconsin,North Central,East North Central,5778394,59209,FALSE
2018,2018-01-01,2018-12-31,WY,Wyoming,West,Mountain,581836,62268,FALSE
2018,2018-01-01,2018-12-31,DC,Puerto Rico,Northeast,South Atlantic,3386941,20166,FALSE
2019,2019-01-01,2019-12-31,AL,Alabama,South,East South Central,4876250,50536,TRUE
2019,2019-01-01,2019-12-31,AK,Alaska,West,Pacific,737068,77640,TRUE
2019,2019-01-01,2019-12-31,AZ,Arizona,West,Mountain,7050299,58945,TRUE
2019,2019-01-01,2019-12-31,AR,Arkansas,South,West South Central,2999370,47597,TRUE
2019,2019-01-01,2019-12-31,CA,California,West,Pacific,39283497,75235,TRUE
2019,2019-01-01,2019-12-31,CO,Colorado,West,Mountain,5610349,72331,TRUE
2019,2019-01-01,2019-12-31,CT,Connecticut,Northeast,New England,3575074,78444,TRUE
2019,2019-01-01,2019-12-31,DE,Delaware,South,South Atlantic,957248,68287,TRUE
2019,2019-01-01,2019-12-31,DC,District of Columbia,Northeast,South Atlantic,692683,86420,TRUE
2019,2019-01-01,2019-12-31,FL,Florida,South,South Atlantic,20901636,55660,TRUE
2019,2019-01-01,2019-12-31,GA,Georgia,South,South Atlantic,10403847,58700,TRUE
2019,2019-01-01,2019-12-31,HI,Hawaii,West,Pacific,1422094,81275,TRUE
2019,2019-01-01,2019-12-31,ID,Idaho,West,Mountain,1717750,55785,TRUE
2019,2019-01-01,2019-12-31,IL,Illinois,North Central,East North Central,12770631,65886,TRUE
2019,2019-01-01,2019-12-31,IN,Indiana,North Central,East North Central,6665703,56303,TRUE
2019,2019-01-01,2019-12-31,IA,Iowa,North Central,West North Central,3139508,60523,TRUE
2019,2019-01-01,2019-12-31,KS,Kansas,North Central,West North Central,2910652,59597,TRUE
2019,2019-01-01,2019-12-31,KY,Kentucky,South,East South Central,4449052,50589,TRUE
2019,2019-01-01,2019-12-31,LA,Louisiana,South,West South Central,4664362,49469,TRUE
2019,2019-01-01,2019-12-31,ME,Maine,Northeast,New England,1335492,57918,TRUE
2019,2019-01-01,2019-12-31,MD,Maryland,South,South Atlantic,6018848,84805,TRUE
2019,2019-01-01,2019-12-31,MA,Massachusetts,Northeast,New England,6850553,81215,TRUE
2019,2019-01-01,2019-12-31,MI,Michigan,North Central,East North Central,9965265,57144,TRUE
2019,2019-01-01,2019-12-31,MN,Minnesota,North Central,West North Central,5563378,71306,TRUE
2019,2019-01-01,2019-12-31,MS,Mississippi,South,East South Central,2984418,45081,TRUE
2019,2019-01-01,2019-12-31,MO,Missouri,North Central,West North Central,6104910,55461,TRUE
2019,2019-01-01,2019-12-31,MT,Montana,West,Mountain,1050649,54970,TRUE
2019,2019-01-01,2019-12-31,NE,Nebraska,North Central,West North Central,1914571,61439,TRUE
2019,2019-01-01,2019-12-31,NV,Nevada,West,Mountain,2972382,60365,TRUE
2019,2019-01-01,2019-12-31,NH,New Hampshire,Northeast,New England,1348124,76768,TRUE
2019,2019-01-01,2019-12-31,NJ,New Jersey,Northeast,Middle Atlantic,8878503,82545,TRUE
2019,2019-01-01,2019-12-31,NM,New Mexico,West,Mountain,2092454,49754,TRUE
2019,2019-01-01,2019-12-31,NY,New York,Northeast,Middle Atlantic,19572319,68486,TRUE
2019,2019-01-01,2019-12-31,NC,North Carolina,South,South Atlantic,10264876,54602,TRUE
2019,2019-01-01,2019-12-31,ND,North Dakota,North Central,West North Central,756717,64894,TRUE
2019,2019-01-01,2019-12-31,OH,Ohio,North Central,East North Central,11655397,56602,TRUE
2019,2019-01-01,2019-12-31,OK,Oklahoma,South,West South Central,3932870,52919,TRUE
2019,2019-01-01,2019-12-31,OR,Oregon,West,Pacific,4129803,62818,TRUE
2019,2019-01-01,2019-12-31,PA,Pennsylvania,Northeast,Middle Atlantic,12791530,61744,TRUE
2019,2019-01-01,2019-12-31,RI,Rhode Island,Northeast,New England,1057231,67167,TRUE
2019,2019-01-01,2019-12-31,SC,South Carolina,South,South Atlantic,5020806,53199,TRUE
2019,2019-01-01,2019-12-31,SD,South Dakota,North Central,West North Central,870638,58275,TRUE
2019,2019-01-01,2019-12-31,TN,Tennessee,South,East South Central,6709356,53320,TRUE
2019,2019-01-01,2019-12-31,TX,Texas,South,West South Central,28260856,61874,TRUE
2019,2019-01-01,2019-12-31,UT,Utah,West,Mountain,3096848,71621,TRUE
2019,2019-01-01,2019-12-31,VT,Vermont,Northeast,New England,624313,61973,TRUE
2019,2019-01-01,2019-12-31,VA,Virginia,South,South Atlantic,8454463,74222,TRUE
2019,2019-01-01,2019-12-31,WA,Washington,West,Pacific,7404107,73775,TRUE
2019,2019-01-01,2019-12-31,WV,West Virginia,South,South Atlantic,1817305,46711,TRUE
2019,2019-01-01,2019-12-31,WI,Wisconsin,North Central,East North Central,5790716,61747,TRUE
2019,2019-01-01,2019-12-31,WY,Wyoming,West,Mountain,581024,64049,TRUE
2019,2019-01-01,2019-12-31,DC,Puerto Rico,Northeast,South Atlantic,3318447,20539,TRUE
